Age,Study_Hours_per_Day,Attendance_Rate,Assignment_Delay_Days,Stress_Index,GPA,Semester_GPA,CGPA,Dropout,Internet_Access_Yes,Part_Time_Job_Yes,Scholarship_Yes,Semester_Year 2,Semester_Year 3,Semester_Year 4,Department_Business,Department_CS,Department_Engineering,Department_Science
22,3,86,2,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0
20,4,68,2,6,1,1,1,1,1,0,0,0,1,0,0,0,1,0
22,4,70,0,5,1,1,1,0,1,1,0,0,0,0,0,0,0,0
24,4,82,2,5,1,1,1,1,1,0,0,0,0,0,0,1,0,0
20,4,75,1,7,1,0,0,0,1,0,0,0,0,1,1,0,0,0
20,4,89,2,6,2,2,2,0,1,0,1,0,1,0,1,0,0,0
24,3,78,1,7,0,0,0,0,1,1,1,0,0,1,0,1,0,0
22,2,86,1,6,1,1,1,0,1,0,1,0,0,0,0,0,0,0
20,4,97,3,4,3,2,2,0,1,0,0,0,0,0,0,1,0,0
22,2,82,1,6,1,1,1,0,1,0,0,0,0,0,0,0,0,1
20,5,73,3,7,1,1,1,1,1,1,0,0,1,0,1,0,0,0
20,2,85,6,8,0,0,0,1,1,1,1,1,0,0,0,0,1,0
21,3,84,1,4,2,2,2,0,1,0,1,0,0,1,0,1,0,0
17,4,84,1,4,2,2,2,0,1,0,1,0,0,0,1,0,0,0
17,4,92,1,5,2,2,2,0,1,1,0,0,1,0,0,0,1,0
19,3,72,2,7,2,3,3,0,0,0,0,0,0,0,0,0,0,0
18,4,90,2,4,2,2,2,0,1,0,1,0,0,0,0,0,1,0
21,4,77,0,4,1,1,1,0,1,1,1,0,0,1,1,0,0,0
19,4,93,2,4,3,3,3,0,1,0,0,0,0,0,0,0,0,0
17,4,65,1,5,1,1,1,1,1,0,0,0,0,0,1,0,0,0
24,6,99,2,3,2,2,2,0,1,0,1,0,0,0,0,1,0,0
20,3,79,0,6,2,2,2,0,1,1,0,0,1,0,0,0,0,0
21,6,72,2,2,4,4,3,0,1,1,1,0,1,0,0,1,0,0
17,4,89,3,4,3,3,3,0,1,0,1,0,0,1,1,0,0,0
19,4,86,3,5,0,0,0,1,1,1,0,0,0,1,1,0,0,0
21,4,85,2,3,3,3,3,0,1,0,0,1,0,0,0,1,0,0
18,5,89,0,4,1,1,1,0,1,0,0,0,1,0,0,0,0,1
21,3,82,4,5,1,0,0,0,1,0,0,0,1,0,0,1,0,0
19,4,79,1,9,1,0,0,0,1,1,0,0,1,0,1,0,0,0
20,4,72,3,5,2,3,3,0,0,0,0,0,0,0,0,1,0,0
19,6,81,7,5,3,3,3,0,1,1,0,0,0,1,0,1,0,0
25,4,77,3,5,2,2,2,1,1,0,1,0,1,0,0,0,0,1
21,6,81,2,3,3,3,3,0,1,0,0,0,0,1,0,0,0,0
18,4,67,1,5,1,1,1,0,1,1,1,0,1,0,0,0,0,0
22,2,95,2,5,0,0,0,0,1,1,1,0,1,0,0,0,0,1
18,4,61,1,5,0,0,0,1,1,0,1,0,1,0,0,0,0,0
21,2,80,1,7,1,1,1,0,0,0,1,0,0,1,1,0,0,0
17,6,78,0,4,3,3,3,0,1,0,0,1,0,0,0,0,0,1
18,2,70,1,5,2,1,2,0,1,0,0,1,0,0,1,0,0,0
21,4,85,3,5,3,3,3,0,1,1,0,1,0,0,1,0,0,0
22,5,74,2,5,2,2,2,0,0,0,0,1,0,0,0,0,1,0
21,7,85,1,4,1,1,1,0,1,1,1,0,0,0,1,0,0,0
20,3,95,6,6,2,2,2,0,1,0,1,0,0,0,1,0,0,0
20,4,72,2,8,2,2,2,1,1,1,1,0,1,0,1,0,0,0
17,2,89,1,7,0,0,0,0,1,0,1,0,0,1,0,0,1,0
19,3,69,2,7,1,1,1,0,1,0,0,0,0,0,1,0,0,0
20,6,75,1,5,3,3,3,0,1,1,0,0,0,1,1,0,0,0
23,5,86,1,3,4,3,4,0,1,1,0,0,0,1,0,1,0,0
21,5,79,2,1,4,3,3,0,1,1,0,1,0,0,1,0,0,0
17,4,93,3,1,2,3,3,0,1,0,0,0,0,0,0,0,1,0
21,5,83,1,5,4,4,3,0,1,1,0,0,0,1,0,1,0,0
20,6,86,1,6,2,2,2,0,1,0,0,0,1,0,1,0,0,0
19,3,76,2,7,2,2,2,0,1,1,0,0,1,0,1,0,0,0
22,4,73,4,5,2,2,2,1,1,0,0,0,0,1,1,0,0,0
23,3,72,0,4,0,0,0,1,1,0,1,0,0,0,1,0,0,0
23,1,74,0,6,0,0,0,1,1,1,1,0,0,0,0,0,0,1
19,4,76,1,3,2,2,2,0,1,0,0,0,0,1,0,0,0,1
20,4,91,3,3,2,2,2,0,1,0,1,0,0,1,0,0,1,0
21,3,85,5,6,0,0,0,1,1,0,0,1,0,0,1,0,0,0
23,3,71,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1
19,4,78,2,4,3,4,4,0,1,1,0,0,1,0,0,0,0,0
20,4,81,3,3,2,2,2,0,1,1,1,1,0,0,0,0,0,1
18,6,100,0,5,3,3,3,0,1,1,1,0,0,0,0,0,1,0
18,4,82,1,6,1,1,1,0,1,0,0,0,1,0,0,0,1,0
22,4,85,1,6,1,1,1,0,0,0,0,1,0,0,0,0,0,0
24,3,74,2,4,3,3,3,0,1,0,1,0,0,1,0,1,0,0
20,2,87,0,5,3,3,3,0,1,0,0,0,0,1,0,0,0,1
23,2,93,2,6,4,4,4,0,1,1,0,0,1,0,0,0,0,0
21,3,80,1,4,1,1,1,0,1,0,0,0,0,0,0,0,1,0
19,4,86,4,3,2,2,2,0,1,0,0,0,0,0,0,0,1,0
21,4,86,3,4,2,2,2,0,1,0,1,0,0,1,1,0,0,0
24,2,82,1,4,3,3,3,0,1,0,0,0,1,0,0,1,0,0
20,1,92,1,5,2,2,2,0,1,1,0,0,0,0,0,0,0,0
24,3,75,2,5,4,4,4,0,1,1,0,0,0,0,0,0,1,0
17,5,75,1,5,4,4,3,0,0,0,0,0,0,1,0,1,0,0
22,3,82,2,4,2,2,2,0,1,1,0,1,0,0,0,0,0,1
21,4,79,2,5,3,3,3,0,1,0,0,0,1,0,0,0,0,1
20,1,58,3,6,1,1,1,1,1,1,0,0,0,0,0,0,0,1
21,4,76,2,6,0,1,1,0,1,0,0,0,0,1,0,0,1,0
17,4,65,0,4,1,1,1,0,1,0,1,0,0,0,0,1,0,0
20,4,79,2,5,2,1,1,0,0,0,0,0,0,0,0,1,0,0
21,5,87,1,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0
24,5,82,2,5,0,0,0,0,1,0,1,0,1,0,0,0,1,0
19,6,83,0,5,1,1,1,0,1,0,0,0,0,1,0,0,0,1
19,2,80,2,8,3,3,3,0,1,0,0,0,0,1,0,0,0,0
19,4,83,0,7,3,2,2,0,1,0,0,1,0,0,0,0,1,0
23,2,100,1,4,3,3,3,0,1,0,1,0,1,0,0,0,0,0
21,4,79,3,7,1,1,1,1,1,1,0,0,0,1,0,1,0,0
19,4,81,0,5,2,2,2,1,1,0,0,0,1,0,0,0,0,0
22,1,75,1,3,2,2,2,0,1,0,0,0,0,0,0,0,0,1
21,4,66,1,7,2,2,2,0,1,0,0,0,1,0,0,0,0,0
23,3,84,0,4,0,0,0,1,0,1,0,0,0,1,1,0,0,0
19,4,91,3,5,3,3,3,0,0,0,0,0,0,0,0,1,0,0
20,3,100,0,4,3,3,3,0,1,0,0,0,1,0,1,0,0,0
20,6,80,3,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0
17,4,79,0,3,0,0,0,1,1,0,0,0,0,1,0,1,0,0
21,4,74,0,5,1,1,1,0,1,1,0,0,0,1,0,1,0,0
21,3,95,4,4,2,2,2,0,0,0,0,1,0,0,1,0,0,0
21,1,72,2,6,1,2,2,0,1,0,1,0,0,0,0,0,1,0
20,2,87,0,5,1,1,1,0,1,1,1,1,0,0,0,1,0,0
17,6,96,1,4,4,4,4,1,1,0,1,0,1,0,1,0,0,0
20,4,80,2,5,2,2,2,0,1,1,1,0,1,0,0,0,0,1
20,4,72,1,7,2,2,2,0,1,1,0,0,0,0,0,0,1,0
19,4,88,2,2,3,3,3,0,1,0,1,0,0,1,1,0,0,0
20,5,71,2,4,1,1,1,0,1,0,0,0,0,1,0,0,0,1
21,4,91,0,6,1,1,1,0,1,1,0,0,0,0,0,0,0,0
25,4,97,4,5,3,3,3,1,1,1,1,0,0,0,0,0,1,0
21,4,63,3,5,1,1,1,1,1,1,0,1,0,0,0,0,1,0
21,4,95,1,5,1,1,1,0,0,0,0,1,0,0,0,0,0,1
20,3,87,2,6,1,1,1,0,1,0,0,1,0,0,1,0,0,0
17,6,93,0,6,3,4,4,0,0,0,1,0,0,0,1,0,0,0
20,2,76,1,6,0,1,1,1,0,1,0,0,0,0,1,0,0,0
21,3,87,2,6,2,2,2,0,1,1,0,0,1,0,0,0,0,1
26,1,83,2,4,1,2,2,1,1,0,0,1,0,0,0,0,0,0
20,5,75,1,7,1,1,1,0,1,1,0,0,0,1,1,0,0,0
21,4,79,3,4,3,2,2,0,1,0,1,0,0,0,1,0,0,0
20,6,86,0,5,2,2,2,0,1,0,1,0,0,1,0,1,0,0
18,3,73,2,2,3,2,2,0,0,1,0,0,0,1,0,0,0,1
23,2,72,2,4,2,2,2,0,1,1,1,0,1,0,0,0,0,1
22,4,56,0,5,0,0,0,0,1,1,1,0,0,0,0,0,1,0
22,4,75,3,5,2,1,1,1,0,0,1,1,0,0,0,0,0,0
19,3,84,4,7,2,2,2,1,1,0,0,1,0,0,0,0,1,0
24,4,77,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0
17,3,92,1,4,1,1,1,0,1,1,0,0,0,0,0,1,0,0
22,5,70,2,4,1,1,1,1,1,0,0,0,0,1,0,0,0,0
25,5,86,3,5,3,3,3,0,1,1,0,0,0,1,0,0,0,1
18,4,79,1,8,2,1,1,0,1,1,0,1,0,0,0,1,0,0
19,5,81,0,1,3,4,4,0,1,0,0,0,0,0,0,0,0,1
21,3,87,1,4,1,1,1,0,1,0,1,1,0,0,0,0,0,0
19,3,60,2,4,1,1,1,1,1,0,0,0,1,0,0,0,0,0
17,1,64,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0
21,4,81,2,5,1,1,1,0,1,0,0,0,0,1,0,1,0,0
18,4,80,2,4,2,2,2,0,1,0,1,0,0,0,0,0,0,0
22,5,70,3,4,2,2,2,0,1,0,0,0,0,0,0,0,1,0
19,4,98,1,3,2,2,2,0,1,0,0,0,0,1,0,0,0,1
24,3,72,1,5,1,1,1,0,1,1,1,0,1,0,0,0,1,0
19,3,77,2,3,2,2,2,0,1,1,0,0,1,0,0,1,0,0
20,3,91,2,4,1,1,1,0,0,0,1,1,0,0,0,1,0,0
22,5,76,3,5,3,3,3,0,1,0,0,0,1,0,0,0,0,0
18,6,75,1,7,1,0,1,0,1,0,0,0,1,0,1,0,0,0
21,5,85,1,6,0,0,0,1,1,1,0,0,1,0,0,1,0,0
23,6,76,1,6,3,3,3,0,0,0,0,0,0,0,0,1,0,0
17,4,85,2,9,3,3,2,0,1,0,0,1,0,0,0,0,0,1
21,2,86,1,6,2,2,2,0,1,0,1,0,1,0,1,0,0,0
21,2,85,4,3,0,0,0,0,1,1,0,0,0,1,0,0,0,0
22,2,91,3,4,2,2,2,0,1,0,1,1,0,0,0,0,1,0
18,3,78,1,4,1,1,1,0,1,0,1,1,0,0,1,0,0,0
18,3,78,0,5,2,2,2,0,1,0,1,1,0,0,0,0,1,0
22,4,81,3,4,2,3,3,0,1,0,0,1,0,0,0,0,0,1
21,3,59,5,3,3,3,3,0,1,0,0,0,0,0,0,1,0,0
21,4,83,0,7,2,2,2,0,1,1,1,0,0,1,0,1,0,0
21,7,79,2,7,0,1,1,0,1,1,1,0,0,0,1,0,0,0
19,5,85,1,5,3,3,3,0,1,1,1,0,0,1,0,0,1,0
21,4,74,1,3,3,3,3,0,1,0,0,1,0,0,0,0,0,0
21,5,92,4,5,4,4,4,0,1,0,1,0,0,0,1,0,0,0
19,2,80,2,4,3,3,3,0,0,1,0,0,0,0,1,0,0,0
25,2,88,1,7,0,0,0,1,1,0,0,0,0,0,1,0,0,0
22,5,77,2,3,3,3,3,0,1,0,0,0,0,0,0,0,0,1
18,4,85,2,6,2,2,2,0,1,0,0,0,1,0,0,0,1,0
22,4,69,0,6,1,1,1,0,1,1,1,0,0,0,1,0,0,0
