course_code,course_name,level,programme,category,year,specialisation,source_status,source_url
CRS001,Database Systems,Undergraduate Degree,Bachelor of Computer Science (Honours),Common Core,Year 1,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-computer-science.html
CRS002,Computer Architecture and Organisation,Undergraduate Degree,Bachelor of Computer Science (Honours),Common Core,Year 1,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-computer-science.html
CRS003,Object Oriented Programming,Undergraduate Degree,Bachelor of Computer Science (Honours),Common Core,Year 1,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-computer-science.html
CRS004,Discrete Structures,Undergraduate Degree,Bachelor of Computer Science (Honours),Common Core,Year 1,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-computer-science.html
CRS005,Principles of Software Engineering,Undergraduate Degree,Bachelor of Computer Science (Honours),Common Core,Year 1,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-computer-science.html
CRS006,Systems Analysis and Design,Undergraduate Degree,Bachelor of Computer Science (Honours),Common Core,Year 1,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-computer-science.html
CRS007,Data Structures and Algorithms,Undergraduate Degree,Bachelor of Computer Science (Honours),Common Core,Year 1,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-computer-science.html
CRS008,Operating Systems,Undergraduate Degree,Bachelor of Computer Science (Honours),Common Core,Year 1,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-computer-science.html
CRS009,Advanced Programming,Undergraduate Degree,Bachelor of Computer Science (Honours),Common Core,Year 1,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-computer-science.html
CRS010,Computer Networks,Undergraduate Degree,Bachelor of Computer Science (Honours),Common Core,Year 2,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-computer-science.html
CRS011,Machine Learning and Intelligent System,Undergraduate Degree,Bachelor of Computer Science (Honours),Common Core,Year 2,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-computer-science.html
CRS012,Ideating Start-up,Undergraduate Degree,Bachelor of Computer Science (Honours),Common Core,Year 2,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-computer-science.html
CRS013,Capstone Project I,Undergraduate Degree,Bachelor of Computer Science (Honours),Common Core,Year 3,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-computer-science.html
CRS014,Capstone Project II,Undergraduate Degree,Bachelor of Computer Science (Honours),Common Core,Year 3,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-computer-science.html
CRS015,Human Computer Interaction,Undergraduate Degree,Bachelor of Computer Science (Honours),Common Core,Year 3,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-computer-science.html
CRS016,Professional Practices and Information Security,Undergraduate Degree,Bachelor of Computer Science (Honours),Common Core,Year 3,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-computer-science.html
CRS017,Industrial Project I,Undergraduate Degree,Bachelor of Computer Science (Honours),Common Core,Year 3,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-computer-science.html
CRS018,Industrial Project II,Undergraduate Degree,Bachelor of Computer Science (Honours),Common Core,Year 3,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-computer-science.html
CRS019,Technopreneurship Project I,Undergraduate Degree,Bachelor of Computer Science (Honours),Common Core,Year 3,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-computer-science.html
CRS020,Technopreneurship Project II,Undergraduate Degree,Bachelor of Computer Science (Honours),Common Core,Year 3,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-computer-science.html
CRS021,Statistical Inference and Modelling,Undergraduate Degree,Bachelor of Computer Science (Honours),Specialisation Module,,Data Science,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-computer-science.html
