student_id,student_name,course_code,course_name,academic_year,semester_term,upload_type,course_mark
367364,Student 400,CRS003,Object Oriented Programming,2026,February,Final,29.6
367364,Student 400,CRS005,Principles of Software Engineering,2026,February,Final,65.6
367364,Student 400,CRS011,Machine Learning and Intelligent System,2026,February,Final,77.9
398902,Student 399,CRS006,Systems Analysis and Design,2026,February,Final,42.4
398902,Student 399,CRS018,Industrial Project II,2026,February,Final,62.0
398902,Student 399,CRS014,Capstone Project II,2026,February,Final,43.5
398902,Student 399,CRS003,Object Oriented Programming,2026,February,Final,58.7
314263,Student 398,CRS013,Capstone Project I,2026,February,Final,33.0
314263,Student 398,CRS010,Computer Networks,2026,February,Final,49.3
314263,Student 398,CRS014,Capstone Project II,2026,February,Final,78.6
314263,Student 398,CRS016,Professional Practices and Information Security,2026,February,Final,65.4
314263,Student 398,CRS003,Object Oriented Programming,2026,February,Final,80.0
334278,Student 397,CRS012,Ideating Start-up,2026,February,Final,69.4
334278,Student 397,CRS005,Principles of Software Engineering,2026,February,Final,43.0
334278,Student 397,CRS009,Advanced Programming,2026,February,Final,65.9
334278,Student 397,CRS017,Industrial Project I,2026,February,Final,60.8
334278,Student 397,CRS007,Data Structures and Algorithms,2026,February,Final,35.9
342320,Student 396,CRS003,Object Oriented Programming,2026,February,Final,38.3
342320,Student 396,CRS008,Operating Systems,2026,February,Final,55.6
342320,Student 396,CRS011,Machine Learning and Intelligent System,2026,February,Final,68.2
361119,Student 395,CRS003,Object Oriented Programming,2026,February,Final,61.2
361119,Student 395,CRS008,Operating Systems,2026,February,Final,47.5
361119,Student 395,CRS014,Capstone Project II,2026,February,Final,54.1
334977,Student 394,CRS016,Professional Practices and Information Security,2026,February,Final,79.8
334977,Student 394,CRS012,Ideating Start-up,2026,February,Final,73.9
334977,Student 394,CRS017,Industrial Project I,2026,February,Final,35.4
334977,Student 394,CRS005,Principles of Software Engineering,2026,February,Final,57.7
393533,Student 393,CRS014,Capstone Project II,2026,February,Final,76.9
393533,Student 393,CRS012,Ideating Start-up,2026,February,Final,44.1
393533,Student 393,CRS013,Capstone Project I,2026,February,Final,75.6
393533,Student 393,CRS005,Principles of Software Engineering,2026,February,Final,65.6
379155,Student 392,CRS005,Principles of Software Engineering,2026,February,Final,40.9
379155,Student 392,CRS016,Professional Practices and Information Security,2026,February,Final,65.1
379155,Student 392,CRS017,Industrial Project I,2026,February,Final,11.7
379155,Student 392,CRS002,Computer Architecture and Organisation,2026,February,Final,44.2
374571,Student 391,CRS012,Ideating Start-up,2026,February,Final,53.8
374571,Student 391,CRS004,Discrete Structures,2026,February,Final,63.7
374571,Student 391,CRS009,Advanced Programming,2026,February,Final,62.7
313276,Student 390,CRS002,Computer Architecture and Organisation,2026,February,Final,26.8
313276,Student 390,CRS014,Capstone Project II,2026,February,Final,74.8
313276,Student 390,CRS015,Human Computer Interaction,2026,February,Final,54.5
313276,Student 390,CRS004,Discrete Structures,2026,February,Final,21.7
362192,Student 389,CRS013,Capstone Project I,2026,February,Final,69.9
362192,Student 389,CRS007,Data Structures and Algorithms,2026,February,Final,51.1
362192,Student 389,CRS018,Industrial Project II,2026,February,Final,56.6
362192,Student 389,CRS008,Operating Systems,2026,February,Final,48.8
394872,Student 388,CRS004,Discrete Structures,2026,February,Final,55.8
394872,Student 388,CRS001,Database Systems,2026,February,Final,37.3
394872,Student 388,CRS005,Principles of Software Engineering,2026,February,Final,58.0
362200,Student 387,CRS006,Systems Analysis and Design,2026,February,Final,58.6
362200,Student 387,CRS011,Machine Learning and Intelligent System,2026,February,Final,72.2
362200,Student 387,CRS015,Human Computer Interaction,2026,February,Final,65.8
362200,Student 387,CRS018,Industrial Project II,2026,February,Final,36.4
362200,Student 387,CRS012,Ideating Start-up,2026,February,Final,53.1
390390,Student 386,CRS016,Professional Practices and Information Security,2026,February,Final,60.4
390390,Student 386,CRS010,Computer Networks,2026,February,Final,47.1
390390,Student 386,CRS003,Object Oriented Programming,2026,February,Final,41.3
390390,Student 386,CRS015,Human Computer Interaction,2026,February,Final,57.0
