Age,Study_Hours_per_Day,Attendance_Rate,Assignment_Delay_Days,Stress_Index,GPA,Semester_GPA,CGPA,Dropout,Internet_Access_Yes,Part_Time_Job_Yes,Scholarship_Yes,Semester_Year 2,Semester_Year 3,Semester_Year 4,Department_Business,Department_CS,Department_Engineering,Department_Science,Exam_Score,Absence_Rate,Academic_Performance,Dropout_Risk_Index
22,3,86,2,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,51.0,14,53.699999999999996,29.6
20,4,68,2,6,1,1,1,1,1,0,0,0,1,0,0,0,1,0,48.0,32,49.199999999999996,38.8
22,4,70,0,5,1,1,1,0,1,1,0,0,0,0,0,0,0,0,57.0,30,57.9,25.0
24,4,82,2,5,1,1,1,0,1,0,0,0,0,0,0,1,0,0,57.0,18,57.9,28.200000000000003
20,4,75,1,7,1,0,0,0,1,0,0,0,0,1,1,0,0,0,52.5,25,49.95,37.0
20,4,89,2,6,2,2,2,0,1,0,1,0,1,0,1,0,0,0,58.5,11,56.55,30.4
24,3,78,1,7,0,0,0,0,1,1,1,0,0,1,0,1,0,0,46.0,22,45.39999999999999,38.8
22,2,86,1,6,1,1,1,0,1,0,1,0,0,0,0,0,0,0,44.0,14,46.4,33.6
20,4,97,3,4,3,2,2,0,1,0,0,0,0,0,0,1,0,0,63.5,3,64.85,21.200000000000003
22,2,82,1,6,1,1,1,0,1,0,0,0,0,0,0,0,0,1,42.0,18,45.0,35.2
20,5,73,3,7,1,1,1,0,1,1,0,0,1,0,1,0,0,0,53.5,27,50.64999999999999,42.8
20,2,85,6,8,0,0,0,1,1,1,1,1,0,0,0,0,1,0,24.5,15,27.949999999999996,64.0
21,3,84,1,4,2,2,2,0,1,0,1,0,0,1,0,1,0,0,55.0,16,58.9,21.4
17,4,84,1,4,2,2,2,0,1,0,1,0,0,0,1,0,0,0,63.0,16,64.5,18.4
17,4,92,1,5,2,2,2,0,1,1,0,0,1,0,0,0,1,0,65.0,8,63.5,20.200000000000003
19,3,72,2,7,2,3,3,0,0,0,0,0,0,0,0,0,0,0,40.0,28,41.2,45.2
18,4,90,2,4,2,2,2,0,1,0,1,0,0,0,0,0,1,0,63.0,10,64.5,20.0
21,4,77,0,4,1,1,1,0,1,1,1,0,0,1,1,0,0,0,62.5,23,64.15,17.200000000000003
19,4,93,2,4,3,3,3,0,1,0,0,0,0,0,0,0,0,0,64.5,7,65.55,18.8
17,4,65,1,5,1,1,1,1,1,0,0,0,0,0,1,0,0,0,51.5,35,54.05,31.0
24,6,99,2,3,2,2,2,0,1,0,1,0,0,0,0,1,0,0,85.5,1,82.64999999999999,5.399999999999999
20,3,79,0,6,2,2,2,0,1,1,0,0,1,0,0,0,0,0,51.5,21,51.65,29.4
21,6,72,2,2,4,4,3,0,1,1,1,0,1,0,0,1,0,0,74.0,28,77.0,11.200000000000003
17,4,89,3,4,3,3,3,0,1,0,1,0,0,1,1,0,0,0,59.5,11,62.05,24.4
19,4,86,3,5,0,0,0,0,1,1,0,0,0,1,1,0,0,0,56.0,14,57.199999999999996,30.6
21,4,85,2,3,3,3,3,0,1,0,0,1,0,0,0,1,0,0,62.5,15,66.55,17.0
18,5,89,0,4,1,1,1,0,1,0,0,0,1,0,0,0,0,1,76.5,11,73.94999999999999,9.399999999999999
21,3,82,4,5,1,0,0,0,1,0,0,0,1,0,0,1,0,0,43.0,18,48.099999999999994,39.2
19,4,79,1,9,1,0,0,1,1,1,0,0,1,0,1,0,0,0,50.5,21,43.74999999999999,45.4
20,4,72,3,5,2,3,3,0,0,0,0,0,0,0,0,1,0,0,49.0,28,52.3,36.2
19,6,81,7,5,3,3,3,1,1,1,0,0,0,1,0,1,0,0,57.5,19,58.25,42.6
25,4,77,3,5,2,2,2,0,1,0,1,0,1,0,0,0,0,1,51.5,23,54.05,34.2
21,6,81,2,3,3,3,3,0,1,0,0,0,0,1,0,0,0,0,76.5,19,76.35,12.600000000000001
18,4,67,1,5,1,1,1,1,1,1,1,0,1,0,0,0,0,0,52.5,33,54.75,30.200000000000003
22,2,95,2,5,0,0,0,0,1,1,1,0,1,0,0,0,0,1,47.5,5,51.25,29.0
18,4,61,1,5,0,0,0,1,1,0,1,0,1,0,0,0,0,0,49.5,39,52.65,32.6
21,2,80,1,7,1,1,1,0,0,0,1,0,0,1,1,0,0,0,39.0,20,40.5,41.0
17,6,78,0,4,3,3,3,0,1,0,0,1,0,0,0,0,0,1,79.0,22,75.69999999999999,10.8
18,2,70,1,5,2,1,2,0,1,0,0,1,0,0,1,0,0,0,38.0,30,44.599999999999994,35.0
21,4,85,3,5,3,3,3,0,1,1,0,1,0,0,1,0,0,0,55.5,15,56.849999999999994,31.0
22,5,74,2,5,2,2,2,0,0,0,0,1,0,0,0,0,1,0,61.0,26,60.699999999999996,28.4
21,7,85,1,4,1,1,1,0,1,1,1,0,0,0,1,0,0,0,87.5,15,81.64999999999999,9.0
20,3,95,6,6,2,2,2,1,1,0,1,0,0,0,1,0,0,0,41.5,5,44.65,47.0
20,4,72,2,8,2,2,2,1,1,1,1,0,1,0,1,0,0,0,46.0,28,42.99999999999999,47.2
17,2,89,1,7,0,0,0,0,1,0,1,0,0,1,0,0,1,0,43.5,11,43.65,37.4
19,3,69,2,7,1,1,1,1,1,0,0,0,0,0,1,0,0,0,38.5,31,40.15,46.4
20,6,75,1,5,3,3,3,0,1,1,0,0,0,1,1,0,0,0,72.5,25,68.75,21.0
23,5,86,1,3,4,3,4,0,1,1,0,0,0,1,0,1,0,0,74.0,14,74.6,9.600000000000001
21,5,79,2,1,4,3,3,0,1,1,0,1,0,0,1,0,0,0,71.5,21,77.64999999999999,6.399999999999999
17,4,93,3,1,2,3,3,0,1,0,0,0,0,0,0,0,1,0,67.5,7,74.85,7.800000000000001
21,5,83,1,5,4,4,3,0,1,1,0,0,0,1,0,1,0,0,68.5,17,65.94999999999999,20.799999999999997
20,6,86,1,6,2,2,2,0,1,0,0,0,1,0,1,0,0,0,76.0,14,68.8,21.6
19,3,76,2,7,2,2,2,0,1,1,0,0,1,0,1,0,0,0,42.0,24,42.599999999999994,43.6
22,4,73,4,5,2,2,2,0,1,0,0,0,0,1,1,0,0,0,46.5,27,50.55,39.8
