student_name,student_id,age,study_hours,attendance,assignment_delay,stress,gpa,internet,part_time_job,family_problems,scholarship,department,semester
Student 1,0396652,26,4,63,1,5,3,Yes,Yes,No,No,Business,Semester 4
Student 2,0377441,18,4,59,1,5,3,Yes,No,Yes,No,Engineering,Semester 3
Student 3,0347655,20,4,64,0,5,1,Yes,Yes,No,No,Computer Science,Semester 2
Student 4,0396427,21,4,56,3,5,0,Yes,No,Yes,Yes,Data Science,Semester 2
Student 5,0332973,23,4,57,3,5,2,Yes,No,No,No,Software Engineering,Semester 4
Student 6,0385483,19,4,64,1,5,0,Yes,Yes,No,Yes,Data Science,Semester 4
Student 7,0323090,21,4,70,2,5,2,Yes,No,No,Yes,Engineering,Semester 2
Student 8,0359969,21,4,67,1,5,2,Yes,No,No,Yes,Computer Science,Semester 2
Student 9,0321939,22,4,76,1,5,3,Yes,No,No,Yes,Engineering,Semester 4
Student 10,0356285,20,4,63,2,5,1,Yes,Yes,Yes,Yes,Data Science,Semester 2
Student 11,0385197,24,4,60,0,5,3,Yes,Yes,No,Yes,Computer Science,Semester 4
Student 12,0363143,22,4,56,0,5,1,No,No,No,No,Computer Science,Semester 1
Student 13,0356255,18,4,60,1,5,1,Yes,No,No,Yes,Data Science,Semester 1
Student 14,0375374,23,4,76,0,5,2,Yes,Yes,No,No,Business,Semester 1
Student 15,0360868,21,4,63,3,5,3,Yes,No,No,No,Computer Science,Semester 3
Student 16,0385713,19,4,76,4,5,0,Yes,No,Yes,No,Software Engineering,Semester 3
Student 17,0344483,22,4,55,1,5,3,Yes,No,No,No,Computer Science,Semester 2
Student 18,0336438,19,4,63,2,5,2,Yes,Yes,No,Yes,Engineering,Semester 4
Student 19,0377720,21,4,75,2,5,1,Yes,Yes,Yes,No,Computer Science,Semester 3
Student 20,0368877,22,4,68,4,5,3,Yes,Yes,Yes,Yes,Business,Semester 1
Student 21,0333255,20,4,66,3,5,3,Yes,Yes,Yes,No,Computer Science,Semester 3
Student 22,0396413,23,4,64,2,5,2,Yes,No,Yes,Yes,Software Engineering,Semester 1
Student 23,0359923,22,4,58,1,5,3,No,No,Yes,No,Business,Semester 4
Student 24,0384012,23,4,68,2,5,3,Yes,Yes,Yes,No,Computer Science,Semester 3
Student 25,0362150,18,4,64,2,5,1,Yes,No,No,No,Engineering,Semester 1
Student 26,0340079,18,4,79,2,5,3,Yes,Yes,No,No,Computer Science,Semester 2
Student 27,0375951,22,4,73,0,5,3,Yes,Yes,No,No,Data Science,Semester 3
Student 28,0354560,23,4,63,1,5,1,Yes,Yes,No,Yes,Software Engineering,Semester 2
Student 29,0341886,20,4,63,2,5,3,Yes,No,No,No,Engineering,Semester 3
Student 30,0337594,21,4,58,3,5,3,Yes,No,No,Yes,Engineering,Semester 1
Student 31,0318993,22,4,62,1,5,3,Yes,Yes,No,No,Business,Semester 3
Student 32,0385757,21,4,71,2,5,2,Yes,No,No,No,Data Science,Semester 4
Student 33,0380504,23,4,76,3,5,1,Yes,No,Yes,Yes,Engineering,Semester 4
Student 34,0340783,22,4,68,4,5,2,Yes,Yes,No,No,Data Science,Semester 3
Student 35,0388558,21,4,59,0,5,1,No,Yes,No,Yes,Data Science,Semester 3
Student 36,0383220,20,4,49,3,5,3,Yes,Yes,No,No,Computer Science,Semester 2
Student 37,0341082,24,4,69,1,5,4,Yes,Yes,No,Yes,Software Engineering,Semester 1
Student 38,0362183,23,4,71,1,5,3,Yes,Yes,No,Yes,Business,Semester 4
Student 39,0367658,21,4,49,4,5,0,Yes,No,No,Yes,Software Engineering,Semester 2
Student 40,0359155,17,4,53,0,5,2,Yes,Yes,Yes,Yes,Computer Science,Semester 4
Student 41,0393345,22,4,52,2,5,1,Yes,Yes,No,No,Software Engineering,Semester 4
Student 42,0360523,18,4,61,1,5,0,Yes,Yes,No,Yes,Software Engineering,Semester 2
Student 43,0334498,18,4,64,2,5,3,Yes,No,No,No,Software Engineering,Semester 4
Student 44,0373172,17,4,44,1,5,1,Yes,No,No,No,Computer Science,Semester 4
Student 45,0359732,18,4,65,2,5,3,Yes,No,No,No,Software Engineering,Semester 1
Student 46,0323529,21,4,85,3,5,3,Yes,Yes,Yes,Yes,Data Science,Semester 4
Student 47,0344223,20,4,80,2,5,1,Yes,No,No,Yes,Business,Semester 1
Student 48,0363363,18,4,66,2,5,1,Yes,No,Yes,Yes,Engineering,Semester 3
Student 49,0384895,24,4,64,2,5,3,Yes,No,No,No,Engineering,Semester 4
Student 50,0369437,25,4,59,0,5,2,No,No,No,No,Computer Science,Semester 4
Student 51,0351405,17,4,59,2,5,3,Yes,Yes,No,No,Data Science,Semester 3
Student 52,0356338,18,4,72,2,5,3,Yes,No,Yes,No,Computer Science,Semester 4
Student 53,0369925,22,4,63,2,5,1,Yes,No,Yes,Yes,Computer Science,Semester 2
Student 54,0382365,18,4,66,1,5,1,No,No,No,Yes,Data Science,Semester 3
Student 55,0360374,22,4,65,0,5,4,Yes,No,Yes,No,Computer Science,Semester 1
Student 56,0329116,24,4,75,1,5,4,Yes,No,No,Yes,Data Science,Semester 4
Student 57,0335525,20,4,71,3,5,2,Yes,No,No,Yes,Data Science,Semester 2
Student 58,0315655,23,4,52,0,5,0,Yes,No,Yes,Yes,Computer Science,Semester 1
Student 59,0385168,22,4,65,3,5,3,Yes,Yes,No,Yes,Engineering,Semester 3
Student 60,0317328,20,4,71,3,5,1,Yes,No,No,No,Data Science,Semester 4
Student 61,0310716,22,4,38,3,5,0,Yes,Yes,No,No,Engineering,Semester 4
Student 62,0355544,23,4,70,1,5,3,Yes,No,No,No,Data Science,Semester 2
Student 63,0390473,19,4,66,0,5,2,Yes,Yes,Yes,Yes,Software Engineering,Semester 4
Student 64,0370142,21,4,63,3,5,1,Yes,No,No,Yes,Engineering,Semester 3
Student 65,0398940,18,4,61,1,5,2,Yes,No,No,No,Engineering,Semester 3
Student 66,0380972,22,4,79,2,5,3,No,No,No,No,Business,Semester 4
Student 67,0322214,20,4,73,2,5,1,Yes,Yes,No,No,Data Science,Semester 1
Student 68,0331206,21,4,59,4,5,1,Yes,No,No,No,Business,Semester 4
Student 69,0379444,20,4,65,0,5,3,No,Yes,No,No,Computer Science,Semester 3
Student 70,0395403,18,4,74,0,5,3,Yes,No,Yes,No,Computer Science,Semester 2
Student 71,0327658,21,4,69,1,5,3,No,No,No,No,Data Science,Semester 3
Student 72,0336522,21,4,78,2,5,0,No,Yes,No,No,Software Engineering,Semester 3
Student 73,0389195,20,4,41,3,5,1,Yes,Yes,Yes,No,Business,Semester 4
Student 74,0385008,22,4,58,1,5,0,Yes,No,No,Yes,Data Science,Semester 1
Student 75,0336698,21,4,65,1,5,2,No,No,No,Yes,Software Engineering,Semester 2
Student 76,0340145,22,4,71,1,5,2,Yes,No,Yes,No,Data Science,Semester 3
Student 77,0357880,19,4,70,0,5,1,No,No,No,Yes,Software Engineering,Semester 2
Student 78,0388753,19,4,80,4,5,1,Yes,No,No,No,Business,Semester 4
Student 79,0352655,21,4,67,1,5,1,Yes,No,No,Yes,Software Engineering,Semester 4
Student 80,0338109,21,4,63,2,5,2,No,No,No,Yes,Business,Semester 3
Student 81,0318239,17,4,49,0,5,2,Yes,No,No,Yes,Data Science,Semester 3
Student 82,0398345,18,4,74,3,5,3,Yes,Yes,No,No,Software Engineering,Semester 4
Student 83,0329603,20,4,63,4,5,3,Yes,Yes,Yes,Yes,Software Engineering,Semester 1
Student 84,0340116,22,4,65,2,5,2,Yes,No,No,Yes,Data Science,Semester 3
